# Header: 
#   title: 26-FE-0(N,TOT) thermal cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 26 
#   A: 0 
#   Nuclide: 26-FE-0 
# Reaction: 
#   Type: N,TOT 
#   Incident energy       : 2.4019e-08 MeV - 2.5983e-08 MeV 
# Residual: 
#   Z:  
#   A:  
#   Nuclide: 
# Statistics:
#   Thermal Simple Mean       |  Simple Stdev        : 1.18071E+01  |   6.17041E-01  (N = 81)
#   Thermal Weighted Mean    +/- Weighted Error      : 1.17810E+01 +/-  1.00315E-02  (N = 81)
#   MXW Simple Mean           |  Simple Stdev        : 1.28000E+01  |   1.13137E+00   (N = 2)
#   MXW Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 2)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
13733-005-0         J.A.Harvey              1982   2.4552E-08   7.3656E-11   1.1194E+01   1.0945E-01                
13733-005-0         J.A.Harvey              1982   2.4536E-08   7.3608E-11   1.1131E+01   1.0972E-01                
13733-005-0         J.A.Harvey              1982   2.4521E-08   7.3563E-11   1.1290E+01   1.1088E-01                
13733-005-0         J.A.Harvey              1982   2.4506E-08   7.3518E-11   1.1110E+01   1.0901E-01                
13733-005-0         J.A.Harvey              1982   2.4491E-08   7.3473E-11   1.1135E+01   1.1026E-01                
13733-005-0         J.A.Harvey              1982   2.4476E-08   7.3428E-11   1.1150E+01   1.1030E-01                
13733-005-0         J.A.Harvey              1982   2.4460E-08   7.3380E-11   1.1137E+01   1.0948E-01                
13733-005-0         J.A.Harvey              1982   2.4445E-08   7.3335E-11   1.1169E+01   1.1006E-01                
13733-005-0         J.A.Harvey              1982   2.4430E-08   7.3290E-11   1.0957E+01   1.0902E-01                
13733-005-0         J.A.Harvey              1982   2.4415E-08   7.3245E-11   1.1077E+01   1.0965E-01                
13733-005-0         J.A.Harvey              1982   2.4400E-08   7.3200E-11   1.1061E+01   1.1113E-01                
13733-005-0         J.A.Harvey              1982   2.4385E-08   7.3155E-11   1.1000E+01   1.0995E-01                
13733-005-0         J.A.Harvey              1982   2.4370E-08   7.3110E-11   1.0946E+01   1.0970E-01                
13733-005-0         J.A.Harvey              1982   2.4355E-08   7.3065E-11   1.0853E+01   1.0839E-01                
13733-005-0         J.A.Harvey              1982   2.4340E-08   7.3020E-11   1.1011E+01   1.0942E-01                
13733-005-0         J.A.Harvey              1982   2.4287E-08   7.2861E-11   1.1077E+01   4.5353E-02                
13733-005-0         J.A.Harvey              1982   2.4197E-08   7.2591E-11   1.1026E+01   4.5217E-02                
13733-005-0         J.A.Harvey              1982   2.4108E-08   7.2324E-11   1.1110E+01   4.5743E-02                
13733-005-0         J.A.Harvey              1982   2.4019E-08   7.2057E-11   1.1050E+01   4.5843E-02                
12634-024-0         J.R.Dunning             1935   2.5000E-08   0.0000E+00   1.2000E+01   0.0000E+00     MXW        
22518-005-0         M.Goldhaber             1937   2.5300E-08   0.0000E+00   1.3600E+01   0.0000E+00     MXW        
