# header: 
#   title: Np237(n,g) thermal cross section
#   source: Resonancetables
#   date: 2025-09-08
# target: 
#   Z: 93
#   A: 237
#   nuclide: Np237
# reaction: 
#   type: (n,g)
# observables: 
#   selected value [b]:  1.788000E+02
#   selected value uncertainty [b]:  2.900000E+00
#   selected value source: Mughabghab-2018
#   number of values: 645
#   average value [b]:  1.786306E+02
#   relative standard deviation [%]:      5.212610
#   quantity: 
#     type: Compilation
#     average value:  1.773500E+02
#     relative standard deviation [%]:      0.817595
#   datablock: 
#     columns: 10
#     entries: 2
##    Author                         Type           Year           Value         dValue        Reference        Ratio        Spectrum        Energy
##      []             []             []             []             [b]            [b]            []             []             []            [MeV]
      Sukhoruchkin            Compilation          2015        1.759000E+02   2.900000E+00                      0.983781                  2.530000E-08
      Mughabghab-2018         Compilation          2018        1.788000E+02   2.900000E+00                      1.000000                  2.530000E-08
#   quantity: 
#     type: Compilation spectrum-averaged
#     average value:  1.749500E+02
#     relative standard deviation [%]:      0.543011
#   datablock: 
#     columns: 10
#     entries: 2
##    Author                         Type           Year           Value         dValue        Reference        Ratio        Spectrum        Energy
##      []             []             []             []             [b]            [b]            []             []             []            [MeV]
      Mughabghab-2006         Compilation          2006        1.759000E+02   2.900000E+00                      0.983781   MXW            2.530000E-08
      Firestone-2022          Compilation          2022        1.740000E+02   3.000000E+00                      0.973154   MXW            2.530000E-08
#   quantity: 
#     type: EXFOR
#     average value:  1.789166E+02
#     relative standard deviation [%]:      4.973917
#   datablock: 
#     columns: 10
#     entries: 620
##    Author                         Type           Year           Value         dValue        Reference        Ratio        Spectrum        Energy
##      []             []             []             []             [b]            [b]            []             []             []            [MeV]
      S.Nakamura              EXFOR                2019        1.759000E+02   6.400000E+00   23535-005-0        0.983781                  2.530000E-08
      S.Nakamura              EXFOR                2019        1.869000E+02   6.200000E+00   23535-002-0        1.045302                  2.530000E-08
      G.Rovira                EXFOR                2020        1.888900E+02   6.617500E+00   23745-002-0        1.056432                  2.400200E-08
      G.Rovira                EXFOR                2020        1.760900E+02   6.312600E+00   23745-002-0        0.984843                  2.400500E-08
      G.Rovira                EXFOR                2020        1.887300E+02   6.580900E+00   23745-002-0        1.055537                  2.400900E-08
      G.Rovira                EXFOR                2020        1.785600E+02   6.391000E+00   23745-002-0        0.998658                  2.401300E-08
      G.Rovira                EXFOR                2020        1.792300E+02   6.488700E+00   23745-002-0        1.002405                  2.401700E-08
      G.Rovira                EXFOR                2020        1.848500E+02   6.500300E+00   23745-002-0        1.033837                  2.402000E-08
      G.Rovira                EXFOR                2020        1.804400E+02   6.259200E+00   23745-002-0        1.009172                  2.402400E-08
      G.Rovira                EXFOR                2020        1.732100E+02   6.289700E+00   23745-002-0        0.968736                  2.402800E-08
      G.Rovira                EXFOR                2020        1.675000E+02   5.931100E+00   23745-002-0        0.936801                  2.403100E-08
      G.Rovira                EXFOR                2020        2.072300E+02   6.955600E+00   23745-002-0        1.159004                  2.403500E-08
      G.Rovira                EXFOR                2020        1.805200E+02   6.486600E+00   23745-002-0        1.009620                  2.403900E-08
      G.Rovira                EXFOR                2020        1.821700E+02   6.481000E+00   23745-002-0        1.018848                  2.404300E-08
      G.Rovira                EXFOR                2020        1.799700E+02   6.480100E+00   23745-002-0        1.006544                  2.404600E-08
      G.Rovira                EXFOR                2020        1.836700E+02   6.552200E+00   23745-002-0        1.027237                  2.405000E-08
      G.Rovira                EXFOR                2020        1.699000E+02   6.120300E+00   23745-002-0        0.950224                  2.405300E-08
      G.Rovira                EXFOR                2020        1.713400E+02   6.262700E+00   23745-002-0        0.958277                  2.405700E-08
      G.Rovira                EXFOR                2020        1.869100E+02   6.537700E+00   23745-002-0        1.045358                  2.406100E-08
      G.Rovira                EXFOR                2020        1.802600E+02   6.424500E+00   23745-002-0        1.008165                  2.406500E-08
      G.Rovira                EXFOR                2020        1.862400E+02   6.757400E+00   23745-002-0        1.041611                  2.406800E-08
      G.Rovira                EXFOR                2020        1.732500E+02   6.153200E+00   23745-002-0        0.968960                  2.407200E-08
