# Header: 
#   title: 93-NP-237(N,G) thermal cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 93 
#   A: 237 
#   Nuclide: 93-NP-237 
# Reaction: 
#   Type: N,G 
#   Incident energy       : 2.4000e-08 MeV - 2.6000e-08 MeV 
# Residual: 
#   Z: 93 
#   A: 238 
#   Nuclide: 93-NP-238
# Statistics:
#   Thermal Simple Mean       |  Simple Stdev        : 1.78917E+02  |   8.90635E+00 (N = 620)
#   Thermal Weighted Mean    +/- Weighted Error      : 1.78252E+02 +/-  2.72272E-01 (N = 620)
#   AV Simple Mean            |  Simple Stdev        : 1.78933E+02  |   5.47753E+00   (N = 3)
#   AV Weighted Mean         +/- Weighted Error      : 1.76994E+02 +/-  3.95178E+00   (N = 3)
#   MXW Simple Mean           |  Simple Stdev        : 1.71600E+02  |   5.36656E+00   (N = 5)
#   MXW Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 5)
#   MXW/FCT Simple Mean       |  Simple Stdev        : 1.50000E+02  |           NAN   (N = 1)
#   MXW/FCT Weighted Mean    +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
#   RAW Simple Mean           |  Simple Stdev        : 1.80112E+02  |   1.34318E+01  (N = 75)
#   RAW Weighted Mean        +/- Weighted Error      : 1.78076E+02 +/-  1.29089E+00  (N = 75)
#   SPA Simple Mean           |  Simple Stdev        : 1.67300E+02  |   2.65321E+01   (N = 7)
#   SPA Weighted Mean        +/- Weighted Error      : 1.56449E+02 +/-  1.92565E+00   (N = 7)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
14565-002-0         E.J.Hennelly            1968   2.5300E-08   0.0000E+00   1.6900E+02   0.0000E+00                
23745-002-0         G.Rovira                2020   2.5409E-08   0.0000E+00   1.9121E+02   7.2063E+00                
23745-002-0         G.Rovira                2020   2.5405E-08   0.0000E+00   1.7017E+02   6.5148E+00                
23745-002-0         G.Rovira                2020   2.5401E-08   0.0000E+00   1.7253E+02   6.4220E+00                
23745-002-0         G.Rovira                2020   2.5397E-08   0.0000E+00   1.7127E+02   6.1973E+00                
23745-002-0         G.Rovira                2020   2.5393E-08   0.0000E+00   1.7601E+02   6.6950E+00                
23745-002-0         G.Rovira                2020   2.5389E-08   0.0000E+00   1.6566E+02   6.3186E+00                
23745-002-0         G.Rovira                2020   2.5385E-08   0.0000E+00   1.8258E+02   6.7501E+00                
23745-002-0         G.Rovira                2020   2.5381E-08   0.0000E+00   1.5979E+02   6.2379E+00                
23745-002-0         G.Rovira                2020   2.5377E-08   0.0000E+00   1.7241E+02   6.5078E+00                
23745-002-0         G.Rovira                2020   2.5373E-08   0.0000E+00   1.7358E+02   6.4624E+00                
23745-002-0         G.Rovira                2020   2.5369E-08   0.0000E+00   1.7426E+02   6.4263E+00                
23745-002-0         G.Rovira                2020   2.5365E-08   0.0000E+00   1.8668E+02   7.0507E+00                
23745-002-0         G.Rovira                2020   2.5361E-08   0.0000E+00   1.9330E+02   6.9302E+00                
23745-002-0         G.Rovira                2020   2.5357E-08   0.0000E+00   1.7473E+02   6.5964E+00                
23745-002-0         G.Rovira                2020   2.5353E-08   0.0000E+00   1.8058E+02   6.4061E+00                
23745-002-0         G.Rovira                2020   2.5349E-08   0.0000E+00   1.7668E+02   6.4672E+00                
23745-002-0         G.Rovira                2020   2.5345E-08   0.0000E+00   1.6587E+02   6.1126E+00                
23745-002-0         G.Rovira                2020   2.5341E-08   0.0000E+00   1.8268E+02   6.9158E+00                
23745-002-0         G.Rovira                2020   2.5337E-08   0.0000E+00   1.7205E+02   6.6308E+00                
23745-002-0         G.Rovira                2020   2.5333E-08   0.0000E+00   1.8079E+02   6.7797E+00                
23745-002-0         G.Rovira                2020   2.5329E-08   0.0000E+00   1.9013E+02   7.0231E+00                
23745-002-0         G.Rovira                2020   2.5325E-08   0.0000E+00   1.7829E+02   6.5575E+00                
23745-002-0         G.Rovira                2020   2.5321E-08   0.0000E+00   1.7634E+02   6.4322E+00                
23745-002-0         G.Rovira                2020   2.5317E-08   0.0000E+00   1.7383E+02   6.2013E+00                
23745-002-0         G.Rovira                2020   2.5313E-08   0.0000E+00   1.7366E+02   6.9540E+00                
23745-002-0         G.Rovira                2020   2.5309E-08   0.0000E+00   1.7181E+02   6.1096E+00                
23745-002-0         G.Rovira                2020   2.5305E-08   0.0000E+00   1.7621E+02   6.6622E+00                
23745-002-0         G.Rovira                2020   2.5301E-08   0.0000E+00   1.7595E+02   6.4650E+00                
23745-002-0         G.Rovira                2020   2.5297E-08   0.0000E+00   1.7971E+02   6.5986E+00                
23745-002-0         G.Rovira                2020   2.5293E-08   0.0000E+00   1.7291E+02   6.5277E+00                
23745-002-0         G.Rovira                2020   2.5289E-08   0.0000E+00   1.7550E+02   6.4068E+00                
23745-002-0         G.Rovira                2020   2.5285E-08   0.0000E+00   1.8012E+02   6.3964E+00                
23745-002-0         G.Rovira                2020   2.5281E-08   0.0000E+00   1.8339E+02   6.6848E+00                
23745-002-0         G.Rovira                2020   2.5277E-08   0.0000E+00   1.7370E+02   6.5398E+00                
23745-002-0         G.Rovira                2020   2.5273E-08   0.0000E+00   1.8588E+02   6.7727E+00                
23745-002-0         G.Rovira                2020   2.5269E-08   0.0000E+00   1.8408E+02   6.8894E+00                
23745-002-0         G.Rovira                2020   2.5265E-08   0.0000E+00   1.8649E+02   6.9792E+00                
23745-002-0         G.Rovira                2020   2.5261E-08   0.0000E+00   1.7599E+02   6.3602E+00                
23745-002-0         G.Rovira                2020   2.5257E-08   0.0000E+00   1.6546E+02   6.2384E+00                
23745-002-0         G.Rovira                2020   2.5253E-08   0.0000E+00   1.7534E+02   6.5368E+00                
23745-002-0         G.Rovira                2020   2.5249E-08   0.0000E+00   1.8032E+02   6.7651E+00                
23745-002-0         G.Rovira                2020   2.5245E-08   0.0000E+00   1.8411E+02   6.8879E+00                
23745-002-0         G.Rovira                2020   2.5242E-08   0.0000E+00   1.8076E+02   6.5472E+00                
23745-002-0         G.Rovira                2020   2.5238E-08   0.0000E+00   1.8031E+02   6.8377E+00                
23745-002-0         G.Rovira                2020   2.5234E-08   0.0000E+00   1.5931E+02   6.2530E+00                
23745-002-0         G.Rovira                2020   2.5230E-08   0.0000E+00   1.6791E+02   6.1335E+00                
23745-002-0         G.Rovira                2020   2.5226E-08   0.0000E+00   1.6749E+02   6.2286E+00                
23745-002-0         G.Rovira                2020   2.5222E-08   0.0000E+00   1.6784E+02   6.3726E+00                
23745-002-0         G.Rovira                2020   2.5218E-08   0.0000E+00   1.8847E+02   6.6848E+00                
23745-002-0         G.Rovira                2020   2.5214E-08   0.0000E+00   1.8132E+02   6.6742E+00                
23745-002-0         G.Rovira                2020   2.5210E-08   0.0000E+00   1.7115E+02   6.1833E+00                
23745-002-0         G.Rovira                2020   2.5206E-08   0.0000E+00   1.7964E+02   6.4907E+00                
23745-002-0         G.Rovira                2020   2.5202E-08   0.0000E+00   1.8479E+02   6.7464E+00                
23745-002-0         G.Rovira                2020   2.5198E-08   0.0000E+00   1.9540E+02   7.1596E+00                
23745-002-0         G.Rovira                2020   2.5194E-08   0.0000E+00   1.8753E+02   6.7619E+00                
23745-002-0         G.Rovira                2020   2.5190E-08   0.0000E+00   1.6714E+02   6.2620E+00                
23745-002-0         G.Rovira                2020   2.5186E-08   0.0000E+00   1.7629E+02   6.6892E+00                
23745-002-0         G.Rovira                2020   2.5182E-08   0.0000E+00   1.5982E+02   6.0240E+00                
23745-002-0         G.Rovira                2020   2.5178E-08   0.0000E+00   1.7956E+02   6.4829E+00                
23745-002-0         G.Rovira                2020   2.5174E-08   0.0000E+00   1.6810E+02   6.3478E+00                
23745-002-0         G.Rovira                2020   2.5170E-08   0.0000E+00   1.7433E+02   6.5929E+00                
23745-002-0         G.Rovira                2020   2.5166E-08   0.0000E+00   1.8144E+02   6.7780E+00                
23745-002-0         G.Rovira                2020   2.5162E-08   0.0000E+00   1.7625E+02   6.5546E+00                
23745-002-0         G.Rovira                2020   2.5158E-08   0.0000E+00   1.7601E+02   6.5902E+00                
23745-002-0         G.Rovira                2020   2.5154E-08   0.0000E+00   1.7107E+02   6.3153E+00                
23745-002-0         G.Rovira                2020   2.5150E-08   0.0000E+00   1.7433E+02   6.5345E+00                
23745-002-0         G.Rovira                2020   2.5146E-08   0.0000E+00   1.8588E+02   6.5169E+00                
23745-002-0         G.Rovira                2020   2.5142E-08   0.0000E+00   1.8441E+02   6.7398E+00                
23745-002-0         G.Rovira                2020   2.5139E-08   0.0000E+00   1.7455E+02   6.4523E+00                
23745-002-0         G.Rovira                2020   2.5135E-08   0.0000E+00   1.9207E+02   6.9460E+00                
23745-002-0         G.Rovira                2020   2.5131E-08   0.0000E+00   1.8857E+02   6.9082E+00                
23745-002-0         G.Rovira                2020   2.5127E-08   0.0000E+00   1.7565E+02   6.4430E+00                
23745-002-0         G.Rovira                2020   2.5123E-08   0.0000E+00   1.7711E+02   6.5055E+00                
23745-002-0         G.Rovira                2020   2.5119E-08   0.0000E+00   1.7563E+02   6.5488E+00                
23745-002-0         G.Rovira                2020   2.5115E-08   0.0000E+00   1.7449E+02   6.3285E+00                
23745-002-0         G.Rovira                2020   2.5111E-08   0.0000E+00   1.6662E+02   6.1930E+00                
23745-002-0         G.Rovira                2020   2.5107E-08   0.0000E+00   1.7463E+02   6.6733E+00                
23745-002-0         G.Rovira                2020   2.5103E-08   0.0000E+00   1.6868E+02   6.0234E+00                
23745-002-0         G.Rovira                2020   2.5099E-08   0.0000E+00   1.8024E+02   6.7177E+00                
23745-002-0         G.Rovira                2020   2.5095E-08   0.0000E+00   1.7999E+02   6.5511E+00                
23745-002-0         G.Rovira                2020   2.5091E-08   0.0000E+00   1.7826E+02   6.6521E+00                
23745-002-0         G.Rovira                2020   2.5087E-08   0.0000E+00   1.6702E+02   6.2547E+00                
23745-002-0         G.Rovira                2020   2.5083E-08   0.0000E+00   1.7154E+02   6.5368E+00                
23745-002-0         G.Rovira                2020   2.5079E-08   0.0000E+00   1.7850E+02   6.6402E+00                
23745-002-0         G.Rovira                2020   2.5076E-08   0.0000E+00   1.7490E+02   6.2317E+00                
23745-002-0         G.Rovira                2020   2.5072E-08   0.0000E+00   1.6796E+02   6.2242E+00                
23745-002-0         G.Rovira                2020   2.5068E-08   0.0000E+00   1.7401E+02   6.4087E+00                
23745-002-0         G.Rovira                2020   2.5064E-08   0.0000E+00   1.7856E+02   6.6746E+00                
23745-002-0         G.Rovira                2020   2.5060E-08   0.0000E+00   1.7882E+02   6.5676E+00                
23745-002-0         G.Rovira                2020   2.5056E-08   0.0000E+00   1.8040E+02   6.6479E+00                
23745-002-0         G.Rovira                2020   2.5052E-08   0.0000E+00   1.9539E+02   6.9256E+00                
23745-002-0         G.Rovira                2020   2.5048E-08   0.0000E+00   1.9121E+02   6.9189E+00                
23745-002-0         G.Rovira                2020   2.5044E-08   0.0000E+00   1.8457E+02   6.7709E+00                
23745-002-0         G.Rovira                2020   2.5040E-08   0.0000E+00   1.8402E+02   6.7363E+00                
23745-002-0         G.Rovira                2020   2.5036E-08   0.0000E+00   1.7521E+02   6.3519E+00                
23745-002-0         G.Rovira                2020   2.5032E-08   0.0000E+00   1.7310E+02   6.3963E+00                
23745-002-0         G.Rovira                2020   2.5028E-08   0.0000E+00   1.7819E+02   6.5392E+00                
23745-002-0         G.Rovira                2020   2.5024E-08   0.0000E+00   1.8042E+02   6.5772E+00                
23745-002-0         G.Rovira                2020   2.5021E-08   0.0000E+00   1.8654E+02   6.9998E+00                
23745-002-0         G.Rovira                2020   2.5017E-08   0.0000E+00   1.7562E+02   6.4727E+00                
23745-002-0         G.Rovira                2020   2.5013E-08   0.0000E+00   1.8702E+02   6.8119E+00                
23745-002-0         G.Rovira                2020   2.5009E-08   0.0000E+00   1.7304E+02   6.4960E+00                
23745-002-0         G.Rovira                2020   2.5005E-08   0.0000E+00   1.8179E+02   6.6545E+00                
23745-002-0         G.Rovira                2020   2.5001E-08   0.0000E+00   1.7483E+02   6.3293E+00                
23745-002-0         G.Rovira                2020   2.4997E-08   0.0000E+00   1.8699E+02   6.6348E+00                
23745-002-0         G.Rovira                2020   2.4993E-08   0.0000E+00   1.7750E+02   6.2022E+00                
23745-002-0         G.Rovira                2020   2.4989E-08   0.0000E+00   1.9819E+02   7.1712E+00                
23745-002-0         G.Rovira                2020   2.4985E-08   0.0000E+00   1.8135E+02   6.6421E+00                
23745-002-0         G.Rovira                2020   2.4981E-08   0.0000E+00   1.8732E+02   6.7562E+00                
23745-002-0         G.Rovira                2020   2.4977E-08   0.0000E+00   1.7511E+02   6.2264E+00                
23745-002-0         G.Rovira                2020   2.4974E-08   0.0000E+00   1.8472E+02   6.7106E+00                
23745-002-0         G.Rovira                2020   2.4970E-08   0.0000E+00   1.9151E+02   6.7761E+00                
23745-002-0         G.Rovira                2020   2.4966E-08   0.0000E+00   1.8587E+02   6.5536E+00                
23745-002-0         G.Rovira                2020   2.4962E-08   0.0000E+00   1.7157E+02   6.3942E+00                
23745-002-0         G.Rovira                2020   2.4958E-08   0.0000E+00   1.7918E+02   6.4495E+00                
23745-002-0         G.Rovira                2020   2.4954E-08   0.0000E+00   1.8231E+02   6.6420E+00                
23745-002-0         G.Rovira                2020   2.4950E-08   0.0000E+00   1.8499E+02   6.6455E+00                
23745-002-0         G.Rovira                2020   2.4946E-08   0.0000E+00   1.6277E+02   6.2855E+00                
23745-002-0         G.Rovira                2020   2.4942E-08   0.0000E+00   1.7257E+02   6.2835E+00                
23745-002-0         G.Rovira                2020   2.4938E-08   0.0000E+00   1.8908E+02   6.7794E+00                
23745-002-0         G.Rovira                2020   2.4934E-08   0.0000E+00   1.7748E+02   6.5820E+00                
23745-002-0         G.Rovira                2020   2.4931E-08   0.0000E+00   1.8104E+02   6.5960E+00                
23745-002-0         G.Rovira                2020   2.4927E-08   0.0000E+00   1.8043E+02   6.3078E+00                
23745-002-0         G.Rovira                2020   2.4923E-08   0.0000E+00   1.9163E+02   6.7706E+00                
23745-002-0         G.Rovira                2020   2.4919E-08   0.0000E+00   1.8224E+02   6.6431E+00                
23745-002-0         G.Rovira                2020   2.4915E-08   0.0000E+00   1.8021E+02   6.5747E+00                
23745-002-0         G.Rovira                2020   2.4911E-08   0.0000E+00   1.8331E+02   6.7138E+00                
23745-002-0         G.Rovira                2020   2.4907E-08   0.0000E+00   1.7680E+02   6.3268E+00                
23745-002-0         G.Rovira                2020   2.4903E-08   0.0000E+00   1.7698E+02   6.3481E+00                
23745-002-0         G.Rovira                2020   2.4899E-08   0.0000E+00   1.6875E+02   6.1288E+00                
23745-002-0         G.Rovira                2020   2.4895E-08   0.0000E+00   1.7288E+02   6.1281E+00                
23745-002-0         G.Rovira                2020   2.4892E-08   0.0000E+00   1.8164E+02   6.4976E+00                
23745-002-0         G.Rovira                2020   2.4888E-08   0.0000E+00   1.7584E+02   6.3106E+00                
23745-002-0         G.Rovira                2020   2.4884E-08   0.0000E+00   1.8491E+02   6.7315E+00                
23745-002-0         G.Rovira                2020   2.4880E-08   0.0000E+00   1.6866E+02   6.0934E+00                
23745-002-0         G.Rovira                2020   2.4876E-08   0.0000E+00   1.7083E+02   6.2855E+00                
23745-002-0         G.Rovira                2020   2.4872E-08   0.0000E+00   1.8351E+02   6.6065E+00                
23745-002-0         G.Rovira                2020   2.4868E-08   0.0000E+00   1.7746E+02   6.2556E+00                
23745-002-0         G.Rovira                2020   2.4864E-08   0.0000E+00   1.8662E+02   6.9370E+00                
23745-002-0         G.Rovira                2020   2.4860E-08   0.0000E+00   1.7775E+02   6.3318E+00                
23745-002-0         G.Rovira                2020   2.4857E-08   0.0000E+00   1.7395E+02   6.3581E+00                
23745-002-0         G.Rovira                2020   2.4853E-08   0.0000E+00   1.7748E+02   6.5190E+00                
23745-002-0         G.Rovira                2020   2.4849E-08   0.0000E+00   1.7196E+02   6.5621E+00                
23745-002-0         G.Rovira                2020   2.4845E-08   0.0000E+00   1.7273E+02   6.1680E+00                
23745-002-0         G.Rovira                2020   2.4841E-08   0.0000E+00   1.8798E+02   6.4518E+00                
23745-002-0         G.Rovira                2020   2.4837E-08   0.0000E+00   1.7751E+02   6.2225E+00                
23745-002-0         G.Rovira                2020   2.4833E-08   0.0000E+00   1.9067E+02   6.9509E+00                
23745-002-0         G.Rovira                2020   2.4829E-08   0.0000E+00   1.8475E+02   6.6419E+00                
23745-002-0         G.Rovira                2020   2.4826E-08   0.0000E+00   1.7837E+02   6.5544E+00                
23745-002-0         G.Rovira                2020   2.4822E-08   0.0000E+00   1.8355E+02   6.6573E+00                
23745-002-0         G.Rovira                2020   2.4818E-08   0.0000E+00   1.7475E+02   6.3966E+00                
23745-002-0         G.Rovira                2020   2.4814E-08   0.0000E+00   1.8448E+02   6.7552E+00                
23745-002-0         G.Rovira                2020   2.4810E-08   0.0000E+00   1.8547E+02   6.5171E+00                
23745-002-0         G.Rovira                2020   2.4806E-08   0.0000E+00   1.8191E+02   6.6392E+00                
23745-002-0         G.Rovira                2020   2.4802E-08   0.0000E+00   1.8038E+02   6.2932E+00                
23745-002-0         G.Rovira                2020   2.4799E-08   0.0000E+00   1.8215E+02   6.6094E+00                
23745-002-0         G.Rovira                2020   2.4795E-08   0.0000E+00   1.8462E+02   6.5274E+00                
23745-002-0         G.Rovira                2020   2.4791E-08   0.0000E+00   1.7929E+02   6.4400E+00                
23745-002-0         G.Rovira                2020   2.4787E-08   0.0000E+00   1.9154E+02   6.3121E+00                
23745-002-0         G.Rovira                2020   2.4783E-08   0.0000E+00   1.8357E+02   6.6996E+00                
23745-002-0         G.Rovira                2020   2.4779E-08   0.0000E+00   1.8196E+02   6.7254E+00                
23745-002-0         G.Rovira                2020   2.4775E-08   0.0000E+00   1.7935E+02   6.3433E+00                
23745-002-0         G.Rovira                2020   2.4772E-08   0.0000E+00   1.8577E+02   6.6031E+00                
23745-002-0         G.Rovira                2020   2.4768E-08   0.0000E+00   1.8114E+02   6.3289E+00                
23745-002-0         G.Rovira                2020   2.4764E-08   0.0000E+00   1.7799E+02   6.2412E+00                
23745-002-0         G.Rovira                2020   2.4760E-08   0.0000E+00   1.8275E+02   6.4242E+00                
23745-002-0         G.Rovira                2020   2.4756E-08   0.0000E+00   1.8082E+02   6.2422E+00                
23745-002-0         G.Rovira                2020   2.4752E-08   0.0000E+00   1.8383E+02   6.8686E+00                
23745-002-0         G.Rovira                2020   2.4748E-08   0.0000E+00   1.8490E+02   6.4413E+00                
23745-002-0         G.Rovira                2020   2.4744E-08   0.0000E+00   1.7578E+02   6.6061E+00                
23745-002-0         G.Rovira                2020   2.4740E-08   0.0000E+00   1.7827E+02   6.3826E+00                
23745-002-0         G.Rovira                2020   2.4737E-08   0.0000E+00   1.9694E+02   6.7040E+00                
23745-002-0         G.Rovira                2020   2.4733E-08   0.0000E+00   1.6970E+02   6.0046E+00                
23745-002-0         G.Rovira                2020   2.4729E-08   0.0000E+00   1.6472E+02   6.1814E+00                
23745-002-0         G.Rovira                2020   2.4725E-08   0.0000E+00   1.8204E+02   6.5918E+00                
23745-002-0         G.Rovira                2020   2.4721E-08   0.0000E+00   1.7184E+02   5.9466E+00                
23745-002-0         G.Rovira                2020   2.4717E-08   0.0000E+00   1.6767E+02   6.1619E+00                
23745-002-0         G.Rovira                2020   2.4714E-08   0.0000E+00   1.6319E+02   6.2333E+00                
23745-002-0         G.Rovira                2020   2.4710E-08   0.0000E+00   1.7020E+02   6.1943E+00                
23745-002-0         G.Rovira                2020   2.4706E-08   0.0000E+00   1.8257E+02   6.5509E+00                
23745-002-0         G.Rovira                2020   2.4702E-08   0.0000E+00   1.7037E+02   6.4349E+00                
23745-002-0         G.Rovira                2020   2.4698E-08   0.0000E+00   1.7383E+02   6.1600E+00                
23745-002-0         G.Rovira                2020   2.4694E-08   0.0000E+00   1.8431E+02   6.4667E+00                
23745-002-0         G.Rovira                2020   2.4690E-08   0.0000E+00   1.6688E+02   5.7985E+00                
23745-002-0         G.Rovira                2020   2.4687E-08   0.0000E+00   1.7475E+02   6.2286E+00                
23745-002-0         G.Rovira                2020   2.4683E-08   0.0000E+00   1.6576E+02   6.1476E+00                
23745-002-0         G.Rovira                2020   2.4679E-08   0.0000E+00   1.8472E+02   6.5093E+00                
23745-002-0         G.Rovira                2020   2.4675E-08   0.0000E+00   1.8063E+02   6.4741E+00                
23745-002-0         G.Rovira                2020   2.4671E-08   0.0000E+00   1.8189E+02   6.6429E+00                
23745-002-0         G.Rovira                2020   2.4668E-08   0.0000E+00   1.7925E+02   6.4156E+00                
23745-002-0         G.Rovira                2020   2.4664E-08   0.0000E+00   1.8079E+02   6.4490E+00                
23745-002-0         G.Rovira                2020   2.4660E-08   0.0000E+00   1.8626E+02   6.7086E+00                
23745-002-0         G.Rovira                2020   2.4656E-08   0.0000E+00   1.7215E+02   6.1202E+00                
23745-002-0         G.Rovira                2020   2.4652E-08   0.0000E+00   1.7796E+02   6.7014E+00                
23745-002-0         G.Rovira                2020   2.4648E-08   0.0000E+00   1.8775E+02   6.8341E+00                
23745-002-0         G.Rovira                2020   2.4644E-08   0.0000E+00   1.7853E+02   6.3770E+00                
23745-002-0         G.Rovira                2020   2.4641E-08   0.0000E+00   1.7803E+02   6.4788E+00                
23745-002-0         G.Rovira                2020   2.4637E-08   0.0000E+00   1.7052E+02   6.2325E+00                
23745-002-0         G.Rovira                2020   2.4633E-08   0.0000E+00   1.8520E+02   6.6394E+00                
23745-002-0         G.Rovira                2020   2.4629E-08   0.0000E+00   1.8883E+02   6.4634E+00                
23745-002-0         G.Rovira                2020   2.4625E-08   0.0000E+00   2.0309E+02   7.2344E+00                
23745-002-0         G.Rovira                2020   2.4621E-08   0.0000E+00   1.7608E+02   6.7604E+00                
23745-002-0         G.Rovira                2020   2.4618E-08   0.0000E+00   1.8105E+02   6.4205E+00                
23745-002-0         G.Rovira                2020   2.4614E-08   0.0000E+00   1.8819E+02   6.6526E+00                
23745-002-0         G.Rovira                2020   2.4610E-08   0.0000E+00   1.8403E+02   7.0041E+00                
23745-002-0         G.Rovira                2020   2.4606E-08   0.0000E+00   1.7055E+02   6.1821E+00                
23745-002-0         G.Rovira                2020   2.4602E-08   0.0000E+00   1.8816E+02   6.6927E+00                
23745-002-0         G.Rovira                2020   2.4599E-08   0.0000E+00   1.7029E+02   6.1704E+00                
23745-002-0         G.Rovira                2020   2.4595E-08   0.0000E+00   1.8310E+02   6.5288E+00                
23745-002-0         G.Rovira                2020   2.4591E-08   0.0000E+00   1.7236E+02   6.3352E+00                
23745-002-0         G.Rovira                2020   2.4587E-08   0.0000E+00   1.7316E+02   6.1269E+00                
23745-002-0         G.Rovira                2020   2.4583E-08   0.0000E+00   1.8462E+02   6.4893E+00                
23745-002-0         G.Rovira                2020   2.4579E-08   0.0000E+00   1.9404E+02   6.6901E+00                
23745-002-0         G.Rovira                2020   2.4576E-08   0.0000E+00   1.7185E+02   6.2811E+00                
23745-002-0         G.Rovira                2020   2.4572E-08   0.0000E+00   1.9644E+02   6.8603E+00                
23745-002-0         G.Rovira                2020   2.4568E-08   0.0000E+00   1.6726E+02   6.1110E+00                
23745-002-0         G.Rovira                2020   2.4564E-08   0.0000E+00   1.9112E+02   6.8218E+00                
23745-002-0         G.Rovira                2020   2.4560E-08   0.0000E+00   1.8649E+02   6.6362E+00                
23745-002-0         G.Rovira                2020   2.4557E-08   0.0000E+00   1.7506E+02   6.3007E+00                
23745-002-0         G.Rovira                2020   2.4553E-08   0.0000E+00   2.0003E+02   6.8707E+00                
23745-002-0         G.Rovira                2020   2.4549E-08   0.0000E+00   1.7800E+02   6.7444E+00                
23745-002-0         G.Rovira                2020   2.4545E-08   0.0000E+00   1.8031E+02   6.8004E+00                
23745-002-0         G.Rovira                2020   2.4541E-08   0.0000E+00   1.7879E+02   6.4069E+00                
23745-002-0         G.Rovira                2020   2.4537E-08   0.0000E+00   1.7593E+02   6.5968E+00                
23745-002-0         G.Rovira                2020   2.4534E-08   0.0000E+00   1.7488E+02   6.2966E+00                
23745-002-0         G.Rovira                2020   2.4530E-08   0.0000E+00   1.6334E+02   6.0445E+00                
23745-002-0         G.Rovira                2020   2.4526E-08   0.0000E+00   1.7719E+02   6.5240E+00                
23745-002-0         G.Rovira                2020   2.4522E-08   0.0000E+00   1.7769E+02   6.6709E+00                
23745-002-0         G.Rovira                2020   2.4518E-08   0.0000E+00   1.6688E+02   6.1233E+00                
23745-002-0         G.Rovira                2020   2.4515E-08   0.0000E+00   1.7248E+02   6.1711E+00                
23745-002-0         G.Rovira                2020   2.4511E-08   0.0000E+00   1.9648E+02   6.5631E+00                
23745-002-0         G.Rovira                2020   2.4507E-08   0.0000E+00   1.6737E+02   5.9032E+00                
23745-002-0         G.Rovira                2020   2.4503E-08   0.0000E+00   1.8266E+02   6.2200E+00                
23745-002-0         G.Rovira                2020   2.4500E-08   0.0000E+00   1.6851E+02   6.0008E+00                
23745-002-0         G.Rovira                2020   2.4496E-08   0.0000E+00   1.7916E+02   6.2560E+00                
23745-002-0         G.Rovira                2020   2.4492E-08   0.0000E+00   1.7528E+02   6.3675E+00                
23745-002-0         G.Rovira                2020   2.4488E-08   0.0000E+00   1.8961E+02   6.5230E+00                
23745-002-0         G.Rovira                2020   2.4484E-08   0.0000E+00   1.6177E+02   6.2188E+00                
23745-002-0         G.Rovira                2020   2.4481E-08   0.0000E+00   1.7289E+02   6.1194E+00                
23745-002-0         G.Rovira                2020   2.4477E-08   0.0000E+00   1.8773E+02   6.7594E+00                
23745-002-0         G.Rovira                2020   2.4473E-08   0.0000E+00   1.7043E+02   6.1421E+00                
23745-002-0         G.Rovira                2020   2.4469E-08   0.0000E+00   1.6534E+02   6.0983E+00                
23745-002-0         G.Rovira                2020   2.4465E-08   0.0000E+00   1.7945E+02   6.7937E+00                
23745-002-0         G.Rovira                2020   2.4461E-08   0.0000E+00   1.8121E+02   6.5007E+00                
23745-002-0         G.Rovira                2020   2.4458E-08   0.0000E+00   1.8938E+02   6.5889E+00                
23745-002-0         G.Rovira                2020   2.4454E-08   0.0000E+00   1.7940E+02   6.3868E+00                
23745-002-0         G.Rovira                2020   2.4450E-08   0.0000E+00   1.8238E+02   6.4188E+00                
23745-002-0         G.Rovira                2020   2.4446E-08   0.0000E+00   1.7847E+02   6.2934E+00                
23745-002-0         G.Rovira                2020   2.4442E-08   0.0000E+00   1.8322E+02   6.6555E+00                
23745-002-0         G.Rovira                2020   2.4439E-08   0.0000E+00   1.8963E+02   6.7815E+00                
23745-002-0         G.Rovira                2020   2.4435E-08   0.0000E+00   1.8637E+02   6.5468E+00                
23745-002-0         G.Rovira                2020   2.4431E-08   0.0000E+00   1.8183E+02   6.4967E+00                
23745-002-0         G.Rovira                2020   2.4427E-08   0.0000E+00   1.8428E+02   6.7851E+00                
23745-002-0         G.Rovira                2020   2.4424E-08   0.0000E+00   1.9798E+02   6.8537E+00                
23745-002-0         G.Rovira                2020   2.4420E-08   0.0000E+00   1.7978E+02   6.4159E+00                
23745-002-0         G.Rovira                2020   2.4416E-08   0.0000E+00   1.9274E+02   7.1221E+00                
23745-002-0         G.Rovira                2020   2.4412E-08   0.0000E+00   1.8141E+02   6.7015E+00                
23745-002-0         G.Rovira                2020   2.4408E-08   0.0000E+00   1.8649E+02   6.8218E+00                
23745-002-0         G.Rovira                2020   2.4405E-08   0.0000E+00   1.8210E+02   6.4809E+00                
23745-002-0         G.Rovira                2020   2.4401E-08   0.0000E+00   1.8826E+02   6.4369E+00                
23745-002-0         G.Rovira                2020   2.4397E-08   0.0000E+00   1.8842E+02   6.6546E+00                
